Nº de pedido;Producto;Cantidad;Color;Talla;Precio unitario;Total
15341320;Gorra vintage de algodón puro Result;1;Vintage Grey;One Size;1,63;1,63
15347020;Gorra vintage de algodón puro Result;1;Vintage Sand;One Size;1,63;1,63
19421011;Camiseta #E190;6;Black;S;2,26;13,56
19421012;Camiseta #E190;9;Black;M;2,26;20,34
19421013;Camiseta #E190;7;Black;L;2,26;15,82
19421014;Camiseta #E190;10;Black;XL;2,26;22,6
19421015;Camiseta #E190;2;Black;2XL;2,26;4,52
31421016;Camiseta Oversize #E220;1;Black;2XL;3,93;3,93
31427112;Camiseta Oversize #E220;1;Mastic;S;3,93;3,93
36421014;Camiseta #E190 para Niños;5;Black;5/6 (110/116);1,73;8,65
36421015;Camiseta #E190 para Niños;3;Black;7/8 (122/128);1,73;5,19
36421016;Camiseta #E190 para Niños;7;Black;9/11 (134/146);1,73;12,11
36421017;Camiseta #E190 para Niños;10;Black;12/13 (152/161);1,73;17,3
61291030;Riñonera Studio;2;Jet Black;One Size;3,48;6,96
68691010;Gorra Baseball;1;Black;One Size;3,29;3,29
73697080;Gorra de pana Heritage;1;Camel;One Size;3,37;3,37
81341010;Gorra 6 paneles Memphis;1;Black;One Size;1,46;1,46
122691010;Gorra Orgánica 5 paneles;1;Black;One Size;3,46;3,46
122692000;Gorra Orgánica 5 paneles;1;Navy;One Size;3,46;3,46
130011018;Camiseta Original 145 grº;1;Black;3XL;2,73;2,73
130011019;Camiseta Original 145 grº;1;Black;4XL;2,73;2,73
136010005;Camiseta Valueweight corte femenino;2;White;L (14);1,71;3,42
136011012;Camiseta Valueweight corte femenino;2;Black;XS (8);2,13;4,26
136011013;Camiseta Valueweight corte femenino;3;Black;S (10);2,13;6,39
136011014;Camiseta Valueweight corte femenino;3;Black;M (12);2,13;6,39
136011015;Camiseta Valueweight corte femenino;3;Black;L (14);2,13;6,39
136011016;Camiseta Valueweight corte femenino;2;Black;XL (16);2,13;4,26
136011017;Camiseta Valueweight corte femenino;2;Black;2XL (18);2,13;4,26
150010004;Camiseta Valueweight 165 gr;2;White;M;1,6;3,2
150010005;Camiseta Valueweight 165 gr;2;White;L;1,6;3,2
150010006;Camiseta Valueweight 165 gr;1;White;XL;1,6;1,6
150010007;Camiseta Valueweight 165 gr;2;White;2XL;1,6;3,2
150011013;Camiseta Valueweight 165 gr;5;Black;S;1,99;9,95
150011014;Camiseta Valueweight 165 gr;8;Black;M;1,99;15,92
150011016;Camiseta Valueweight 165 gr;13;Black;XL;1,99;25,87
150011017;Camiseta Valueweight 165 gr;1;Black;2XL;1,99;1,99
150011018;Camiseta Valueweight 165 gr;4;Black;3XL;2,91;11,64
150011019;Camiseta Valueweight 165 gr;4;Black;4XL;2,91;11,64
150012009;Camiseta Valueweight 165 gr;2;Navy;4XL;2,91;5,82
150012025;Camiseta Valueweight 165 gr;2;Deep Navy;L;1,99;3,98
150013203;Camiseta Valueweight 165 gr;1;Sky Blue;S;1,99;1,99
150013204;Camiseta Valueweight 165 gr;2;Sky Blue;M;1,99;3,98
150013206;Camiseta Valueweight 165 gr;1;Sky Blue;XL;1,99;1,99
150014205;Camiseta Valueweight 165 gr;2;Light Pink;L;1,99;3,98
158010007;Camiseta Valueweight niño;2;White;152 (12-13);1,32;2,64
158011016;Camiseta Valueweight niño;7;Black;140 (9-11);1,71;11,97
158011017;Camiseta Valueweight niño;10;Black;152 (12-13);1,71;17,1
302734800;Gorra clásica Trucker;1;Red/White/Red;One Size;4,26;4,26
309731010;Gorra Twill perfil medio;1;Black;One Size;6,15;6,15
325691010;Gorra Rapero 5 paneles;1;Black;One Size;2,21;2,21
359691010;Gorra Canvas 5 paneles;1;Black;One Size;3,11;3,11
372341540;Gorra Sandwich terciopelo 5 paneles;1;Black/Red;One Size;2,97;2,97
397341010;Gorra tropa urbana ligera;1;Black;One Size;2,49;2,49
612291310;Bolsa cinturón;2;Graphite;One Size;2,67;5,34
612295850;Bolsa cinturón;2;Jungle Camo;One Size;2,89;5,78
620380080;Bolsa algodón Guildford;10;Natural;One Size;0,75;7,5
620381010;Bolsa algodón Guildford;10;Black;One Size;1,08;10,8
698280080;Mochila Gymsac;5;Natural;One Size;0,99;4,95
698281310;Mochila Gymsac;3;Graphite;One Size;1,36;4,08
698281520;Mochila Gymsac;5;Black/Black;One Size;1,36;6,8
928691500;Gorra Authentic Piped Peak 5 paneles;1;Black/White;One Size;2,4;2,4
934291010;Reporter multibolsillo Modulr™ 1 litro;5;Black;One Size;4,09;20,45
936691520;Gorra Original Flat Peak Trucker 6 paneles;1;Black/Black;One Size;2,67;2,67
942691010;Gorra de 6 paneles Urbanwear;2;Black;One Size;2,97;5,94
971290000;Parche sublimación MOLLE;10;White;One Size;0,65;6,5
977692040;Gorra 5 paneles desestructurada algodón orgánico;1;Oxford Navy;One Size;3,86;3,86
