NOMBRE;COSTE;PVP;SKU;Categoría;TIPO;TIPO_IVA;Proveedor;COLOR;TALLA;UNIDADES (stock_actual);VARIANTE
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;4;IP 11P
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;4;IP 12
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;4;IP 15P
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;3;IP 15P+
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;3;IP 16
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;3;IP 16P+
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;2;IP 17
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;2;S 21+
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;2;S 21U
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;1;S 22+
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;1;S 23+
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;1;S 23U
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;2;S 24
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;1;S 25
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;2;S A14
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;2;S A15
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;1;S A53
Funda;2,8;;;Fundas y carcasas para teléfonos móviles;Funda;21;Kool Things;;;5;S A54
