EAN;NOMBRE;COSTE;UNIDADES (stock_actual);PVP;SKU;Categoría;TIPO;TIPO_IVA;Proveedor
9788412734515;Johnny Red: El Hurricane;17,5;1;25;Libros de cómics;Cómic;4;CARTEM;
9788412640168;Ork Saga;24,46;1;34,95;Libros de cómics;Cómic;4;CARTEM;
9788417552046;Niño Prodigio;13,33;1;19,9;Libros de cómics;Cómic;4;Azeta;
9788418309663;Los Portugueses;22,21;1;33;Libros de cómics;Cómic;4;UDL;
9788418309830;Aventuras Sherlock Holmes;19,51;1;29;Libros de cómics;Cómic;4;UDL;
9788418309724;Buonaparte INT;24,23;1;36;Libros de cómics;Cómic;4;UDL;
9788418309779;América o El Desaparecido;14,81;1;22;Libros de cómics;Cómic;4;UDL;
9788418309694;Americana Nuevo Mundo;26,25;1;39;Libros de cómics;Cómic;4;UDL;
9788469602560;Astérix 9 Asturlibrosndos;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788469602652;Astérix 18 Laureles del César;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788469602751;Astérix 28 India;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788469602621;Astérix 15 La cizaña;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788469602799;Astérix 32 Nunca visto;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788469602577;Astérix 10 Legionario;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788469602508;Astérix 3 Godos;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788434504011;Astérix 33 Cielo se nos cae encima;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788469602553;Astérix 8 Bretaña;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788469602690;Astérix 22 Gran Travesia;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788469602737;Astérix 26 Odisea Asterix;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788469602768;Astérix 29 Rosa Espada;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788469602584;Astérix 11 Escudo Averno;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788469602775;Astérix 30 Maltrago Obélix;9,34;1;12,95;Libros de cómics;Cómic;4;Asturlibros;
9788467976922;Noche Abisal;20,16;1;29,9;Libros de cómics;Cómic;4;Asturlibros;
9788410332003;Fracción de Segundo;14,81;1;22;Libros de cómics;Cómic;4;UDL;
9788410332904;Morfis 1 Huevo Cósmico;12,12;1;12;Libros de cómics;Cómic;4;UDL;
9791387927189;Sucesos Críticos Variados;16,16;1;24;Libros de cómics;Cómic;4;UDL;
9788410332799;20th Century Men;20,19;1;30;Libros de cómics;Cómic;4;Asturlibros;
9788410332768;Saquen sus muertos;12,12;1;18;Libros de cómics;Cómic;4;UDL;
9788418909603;Snow Angels 1;10,77;1;16;Libros de cómics;Cómic;4;UDL;
9788419670038;Snow Angels 2;13,46;1;20;Libros de cómics;Cómic;4;UDL;
9791387927264;El viaje;14,7;2;22;Libros de cómics;Cómic;4;Asturlibros;
9788418909900;Por Tutatis;10,09;1;15;Libros de cómics;Cómic;4;UDL;
9788415685449;Mi amigo Dahmer;12,12;1;18;Libros de cómics;Cómic;4;UDL;
9788416880775;Sherlock Frankenstein 2;10,7;1;16;Libros de cómics;Cómic;4;UDL;
9788419670014;Little Monsters 1;8,69;1;18;Libros de cómics;Cómic;4;UDL;
9788418809415;Sábanas;16,76;1;24,9;Libros de cómics;Cómic;4;UDL;
9788418909702;Black Hammer Visiones 2;10,77;1;16;Libros de cómics;Cómic;4;UDL;
9788419670991;Martillo Negro últimos días;12,79;1;19;Libros de cómics;Cómic;4;UDL;
9788419670885;Coronel Weird Andrómeda;12,79;1;19;Libros de cómics;Cómic;4;UDL;
9788419670229;El abismo del olvido;16,83;1;25;Libros de cómics;Cómic;4;UDL;
9788418215209;Regreso al Edén;12,12;1;18;Libros de cómics;Cómic;4;UDL;
9788416880218;Black Hammer 1 Orígenes Secretos;12,79;1;19;Libros de cómics;Cómic;4;UDL;
9788416880546;Black Hammer 2 El suceso;12,12;1;16;Libros de cómics;Cómic;4;UDL;
9788417575557;Black Hammer 4 La edad sombría II;12,12;1;18;Libros de cómics;Cómic;4;UDL;
9788418909597;Black Hammer 5 El Renacer I;10,77;2;16;Libros de cómics;Cómic;4;UDL;
9788419670052;Black Hammer 6 El Renacer II;11,45;1;17;Libros de cómics;Cómic;4;UDL;
9788410332065;Black Hammer 8 El fin;15,48;1;23;Libros de cómics;Cómic;4;UDL;
9788410332805;Black Hammer 9 Spiral City;16,16;1;24;Libros de cómics;Cómic;4;UDL;
9788416880225;Espacios en blanco;10,77;1;16;Libros de cómics;Cómic;4;UDL;
9788418909313;Revientacráneos y el Chico Esqueleto;12,79;1;19;Libros de cómics;Cómic;4;UDL;
9788419670281;Little Monsters 2;14,81;1;22;Libros de cómics;Cómic;4;UDL;
9788419670564;Operación Amanecer 1;10,7;1;16;Libros de cómics;Cómic;4;UDL;
9788419670847;¡Universo!;13,46;1;20;Libros de cómics;Cómic;4;UDL;
9788410332010;¡Universo! 2;12,79;1;19;Libros de cómics;Cómic;4;UDL;
9788410332676;Parker La Presa;14,81;1;22;Libros de cómics;Cómic;4;UDL;
9788410332850;Artefacto Perverso;9,42;1;14;Libros de cómics;Cómic;4;UDL;
9788410332997;Meseta;12,12;1;18;Libros de cómics;Cómic;4;UDL;
9788410332645;Bruma 1 Despertar Dragón;10,77;1;16;Libros de cómics;Cómic;4;UDL;
9788410332713;Año Que Fuimos Reyes 1;19,52;1;29;Libros de cómics;Cómic;4;UDL;
9788410332812;Violencia Gratuita;9,42;1;14;Libros de cómics;Cómic;4;UDL;
9788410332379;Anatomía Esqueleto;18,84;1;28;Libros de cómics;Cómic;4;UDL;
9788410332683;Aquí Donde Estoy;12,12;1;18;Libros de cómics;Cómic;4;UDL;
9788410332843;La Vida;10,09;1;15;Libros de cómics;Cómic;4;UDL;
9791387927004;Cuando caiga mi venganza;12,79;1;19;Libros de cómics;Cómic;4;UDL;
9791387927035;Eva Medusa;23,56;1;35;Libros de cómics;Cómic;4;UDL;
9791387927066;Cómic Radical;14,81;1;22;Libros de cómics;Cómic;4;UDL;
9788410332744;Rose en la vida;13,46;1;20;Libros de cómics;Cómic;4;UDL;
9788410332430;Arcanos Menores;12,12;1;18;Libros de cómics;Cómic;4;UDL;
9788492615452;Todo mal;15,41;1;22,9;Libros de cómics;Cómic;4;UDL;
9788410446823;Kaijuland;14,8;1;22;Libros de cómics;Cómic;4;Asturlibros;
9788416428731;Elfos 3;8,69;1;25;Libros de cómics;Cómic;4;Azeta;
9788419266705;Simpson Casa Árbol;33,6;1;49,95;Libros de cómics;Cómic;4;UDL;
9788419266712;Simpson 2 Casa Árbol;33,62;1;49,95;Libros de cómics;Cómic;4;UDL;
9788410287433;Reinos Silenciosos;13,46;1;20;Libros de cómics;Cómic;4;UDL;
9788417989590;Telémaco URGH y la corona de huesos;8,69;1;16;Libros de cómics;Cómic;4;Asturlibros;
9788410287259;Villevermine;15,63;1;25;Libros de cómics;Cómic;4;Azeta;
9788419148353;47 cuerdas;23,56;1;35;Libros de cómics;Cómic;4;UDL;
9788410287204;Happy Endings;15,63;1;25;Libros de cómics;Cómic;4;Azeta;
9788410287181;Carcoma;18,75;1;30;Libros de cómics;Cómic;4;Azeta;
9788410287372;Precious Metal;26,92;1;40;Libros de cómics;Cómic;4;UDL;
9788410287105;Lowreader 1;5,38;1;8;Libros de cómics;Cómic;4;UDL;
9788410287143;Lowreader 2;5,38;1;8;Libros de cómics;Cómic;4;UDL;
9788410287150;Lowreader 3;5,38;1;8;Libros de cómics;Cómic;4;UDL;
