EAN,NOMBRE,COSTE,UNIDADES (stock_actual),PVP,SKU,Categoría,TIPO,TIPO_IVA,Proveedor
4983164161564,Mirio Togata Smash Rising Ichibansho,"36,99",1,"52,9",,Figuras de acción,Figura Colección,21,Ociostock
8412906991948,Superman vuelo,"4,6",1,6,,Figuras de acción,Figura PVC,21,Azeta
8412906991955,Green Lantern Comansi,"4,6",3,6,,Figuras de acción,Figura PVC,21,Azeta
8412906960289,Thor Comansi,"4,6",2,6,,Figuras de acción,Figura PVC,21,Azeta
8435450223006,Harry Potter mini,"5,25",1,5,,Figuras de acción,Figura PVC,21,Azeta
8435450227844,Frodo Mini,4,1,5,,Figuras de acción,Figura PVC,21,Azeta
4007176134214,Aurora + Llavero Bullyland,"4,85",2,10,,Figuras de acción,Figura PVC,21,Azeta
4063847135102,Frozen Elsa lila Bullyland,"5,45",2,10,,Figuras de acción,Figura PVC,21,Azeta
4007176129593,Anna Frozen,"4,85",1,10,,Figuras de acción,Figura PVC,21,Azeta
4007176444351,Zombie Teddy Blister,"5,95",1,11,,Figuras de acción,Figura PVC,21,Azeta
4063847113551,Pocahontas Bullyland,"5,52",1,8,,Figuras de acción,Figura PVC,21,Azeta
4063847135157,Salamander Frozen 2,"3,96",2,8,,Figuras de acción,Figura PVC,21,Azeta
4007176123126,Ariel Rosa Bullyland,"5,97",1,10,,Figuras de acción,Figura PVC,21,Azeta
4007176123997,Pinocho Bullyland,"4,62",2,8,,Figuras de acción,Figura PVC,21,Azeta
4007176124017,Bella Bullyland,"5,22",1,10,,Figuras de acción,Figura PVC,21,Azeta
4007176124635,Bestia Bullyland,"6,78",1,14,,Figuras de acción,Figura PVC,21,Azeta
4007176124796,Enanito Feliz con pico Bullyland,"4,13",1,7,,Figuras de acción,Figura PVC,21,Azeta
4007176124871,Cenicienta Bullyland,"4,85",2,8,,Figuras de acción,Figura PVC,21,Azeta
8436016388474,Kung Fu Panda Tigresa,"3,5",1,9,,Figuras de acción,Figura PVC,21,Azeta
8412906996837,Pepa Pig George Comansi,"3,75",1,6,,Figuras de acción,Figura PVC,21,Azeta
4063847114008,Alicia país maravillas,"5,25",1,8,,Figuras de acción,Figura PVC,21,Azeta
8412906901534,Peppa Pig Zoe Comansi,"3,75",1,6,,Figuras de acción,Figura PVC,21,Azeta
8412906901541,Peppa Pig Candy Comansi,"3,75",1,6,,Figuras de acción,Figura PVC,21,Azeta
