EAN,NOMBRE,COSTE,UNIDADES (stock_actual),PVP,SKU,Categoría,TIPO,TIPO_IVA,Proveedor
889698943536,Dustin Henderson 1887,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698593694,Isiah Thomas 142,"6,39",1,"16,9",,Figuras de acción,Funko Pop,21,TCG Factory
889698421225,Batman 46 cm 01,"91,4",1,149,,Figuras de acción,Funko Pop,21,TCG Factory
889698756655,Monkey D Luffy 1878,"9,9",1,"19,9",,Figuras de acción,Funko Pop,21,TCG Factory
889698906463,Nico Robin 2233,"9,9",1,"19,9",,Figuras de acción,Funko Pop,21,TCG Factory
889698666442,Captain Marvel 17 Cover,"19,99",1,"35,9",,Figuras de acción,Funko Pop,21,Ociostock
889698602976,Komugi 1092,"11,9",1,18,,Figuras de acción,Funko Pop,21,Ociostock
889698760898,Hello Kitty 75,"10,99",1,"20,9",,Figuras de acción,Funko Pop,21,Ociostock
889698807944,Robocop 1635,"9,99",1,"17,9",,Figuras de acción,Funko Pop,21,Ociostock
889698765244,Goten 1632,"9,99",1,"19,9",,Figuras de acción,Funko Pop,21,Ociostock
889698765237,Gohan 1631,"9,99",1,"19,9",,Figuras de acción,Funko Pop,21,Ociostock
889698803151,Kuromi 90,"14,9",1,"24,9",,Figuras de acción,Funko Pop,21,Ociostock
889698756501,Silco 1604,"11,99",1,"20,9",,Figuras de acción,Funko Pop,21,Ociostock
889698801935,Heimerdinger Poro 1605,"10,99",1,"20,9",,Figuras de acción,Funko Pop,21,Ociostock
889698835848,Mister Fantastic 1515,"9,99",1,"20,9",,Figuras de acción,Funko Pop,21,Ociostock
889698835862,Human Torch 1517,"9,99",1,"20,9",,Figuras de acción,Funko Pop,21,Ociostock
889698885232,Jonathan Byers 1797,"17,99",1,"36,9",,Figuras de acción,Funko Pop,21,Ociostock
889698885225,Lucas Sinclair 1798,"16,99",1,"34,9",,Figuras de acción,Funko Pop,21,Ociostock
889698580403,Yuga Aoyama 1144,"4,74",1,12,,Figuras de acción,Funko Pop,21,Azeta
889698632867,Ibara Shiozaki 1192,"4,47",1,12,,Figuras de acción,Funko Pop,21,Azeta
889698573825,Val Little 1114,"3,06",1,9,,Figuras de acción,Funko Pop,21,Azeta
889698519021,Mirio Togata 1004,"4,47",1,12,,Figuras de acción,Funko Pop,21,Azeta
889698549769,Wonder Woman 392,"3,6",1,10,,Figuras de acción,Funko Pop,21,Azeta
889698549776,Wonder Woman 393,"3,6",1,10,,Figuras de acción,Funko Pop,21,Azeta
889698573665,Harry Potter 132,"10,92",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698445108,Luther 928,"3,6",1,10,,Figuras de acción,Funko Pop,21,Azeta
889698520164,Joe the Condor 1031,"3,6",1,10,,Figuras de acción,Funko Pop,21,Azeta
889698559737,Snow White 1019,"10,79",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698558129,Tchalla Star Lord,"2,4",1,8,,Figuras de acción,Funko Pop,21,Azeta
889698520171,Jun The Swan 1032,"3,6",1,10,,Figuras de acción,Funko Pop,21,Azeta
889698803748,Armored Titan 1995,"32,16",1,"59,9",,Figuras de acción,Funko Pop,21,Azeta
889698905671,St Jaygarcia Saturn,"31,15",1,"59,9",,Figuras de acción,Funko Pop,21,Azeta
889698492768,Jack Armored 1052 Chase,"3,6",1,"29,9",,Figuras de acción,Funko Pop,21,Azeta
889698837002,Champion Viktor 1487,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698835909,Spongebob Squarepants 1938,"11,7",1,"23,9",,Figuras de acción,Funko Pop,21,Azeta
889698513104,Stretch Armstrong 01,"3,6",1,12,,Figuras de acción,Funko Pop,21,Azeta
889698907682,Buzz Lightyear 1712,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698903431,Snorkeling Stitch 1742,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698839631,Spider-Man 1586,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698839648,Spider-Man No Way Home Suit 1587,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698906432,Tony Tony Chopper 2340,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698918572,Super Saiyan 2 Son Goku Mini 2305,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698908740,Luke Skywalker Legends 846,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698756679,Sanji 1881,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698756662,Nami 1880,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698918565,Glorio 2306,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698905381,Michael Jordan 222,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698943543,Steve Harrington 1888,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698906449,Brook 2231,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698756693,Zoro 1879,"11,7",1,"21,9",,Figuras de acción,Funko Pop,21,Azeta
889698765527,Peli Motto with Grogu 665,"9,32",1,"16,95",,Figuras de acción,Funko Pop,21,Heo GmbH
889698674904,Dennis Rodman 160,"6,61",1,"17,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698838078,Eustass Kid 1932,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698657495,Hello Kitty 58,"8,82",1,"17,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698837149,Oolong 1924,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
,,,,,,,,,
889698755788,Carrot 1588,"3,72",1,"14,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698522410,Wolverine 722,"5,7",1,"13,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698863674,Rowlet 1092,"8,82",1,"17,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698863667,Ninetales 1091,"8,82",1,"17,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698864350,Hermione Granger 181,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698861489,Oogie Boogie 1634,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698864978,Super Android 17 2075,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698864985,Super Saiyan 4 Vegeta 2073,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698867672,Kikoru Shinomiya 2082,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698872287,Sonic 1114,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698879729,Mahito 2126,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698867542,Racers Amy,"2,82",1,"9,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698867573,Racers Tails,"2,82",1,"9,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698835992,Goofy 1575,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698872157,Buff Chucky 1722,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698890502,T.Rex 1898,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698893480,Baron Davis 225,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698918121,Clicker 1843,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698902823,Bloody Pennywise 1856,"8,82",1,"19,9",,Figuras de acción,Funko Pop,21,Heo GmbH
889698545464,Kawaki 1036,"3,5",1,12,,Figuras de acción,Funko Pop,21,Heo GmbH
889698834810,Doomsday Max 541,"3,39",1,12,,Figuras de acción,Funko Pop,21,Heo GmbH
889698862424,Bubbles 1981,"4,52",1,13,,Figuras de acción,Funko Pop,21,Heo GmbH
889698771061,Nishiki Nishio 1548,"4,52",1,13,,Figuras de acción,Funko Pop,21,Heo GmbH
889698837071,Daemon 1918,"4,52",1,13,,Figuras de acción,Funko Pop,21,Heo GmbH
889698857017,Bitty Marvel Spider-Man,"6,74",1,"19,9",,Figuras de acción,Bitty Pop,21,Heo GmbH
889698562072,Mer-Man 88,"3,6",1,10,,Figuras de acción,Funko Pop,21,Heo GmbH
889698528740,Shang-Chi 843,"3,6",1,10,,Figuras de acción,Funko Pop,21,Heo GmbH
889698574129,Bane 412,"3,6",1,10,,Figuras de acción,Funko Pop,21,Heo GmbH
