EAN,NOMBRE,COSTE,UNIDADES (stock_actual),PVP,SKU,Categoría,TIPO,TIPO_IVA,Proveedor
5010996239013,Duskmourn SJ,"3,65",18,"6,7",,Juegos de cartas,TCG,21,TCG Factory
195166250939,Hydra Secret Lair,"27,5",1,"49,95",,Juegos de cartas,TCG,21,Devir
5010996245618,Cimientos SJ,"3,39",22,"6,5",,Juegos de cartas,TCG,21,TCG Factory
850060996023,Token Dice Green Mana Pack,"36,85",1,60,,Juegos de cartas,Accejuego,21,Heo GmbH
630509987283,Midnight Hunt Collector,"13,7",4,"27,9",,Juegos de cartas,TCG,21,Devir
195166279169,Aetherdrift Prerelease,"19,11",2,36,,Juegos de cartas,TCG,21,Devir
5010996316370,Avatar Caja Principiante,"19,6",1,"33,9",,Juegos de cartas,TCG,21,Devir
5010996267986,Final Fantasy Commander,"38,5",2,"69,9",,Juegos de cartas,TCG,21,Devir
5010996359421,Super Heroes SJ,"4,03",18,7,,Juegos de cartas,TCG,21,Devir
195166313597,Super Heroes BP ENG,"4,03",10,7,,Juegos de cartas,TCG,21,Devir
5706569131234,Perfect Fit 100 Sideload Smoke,"2,85",5,6,,Juegos de cartas,Accejuego,21,TCG Factory
4012927180808,Yugi Set Principiante,"10,92",2,"16,9",,Juegos de cartas,TCG,21,Devir
4012927193723,Yugi Phantom Revenge,2,22,4,,Juegos de cartas,TCG,21,Devir
4012927197530,Yugi Legendary Kaiba,"14,7",1,30,,Juegos de cartas,TCG,21,Devir
4050368982438,LORCANA Rise of the Floodborn Booster,"3,63",1,5,,Juegos de cartas,TCG,21,TCG Factory
4050368982865,LORCANA Into the Inklands Booster,"3,63",3,5,,Juegos de cartas,TCG,21,TCG Factory
841333127077,SWU Sombras Galaxia Caja Inicio,"24,06",1,"34,95",,Juegos de cartas,TCG,21,Azeta
8436017227321,Lost Cities Exploradores,"13,38",1,"21,9",,Juegos de mesa,Juego de mesa,21,Devir
8437016958513,Aristeia! All-in-one,"52,9",1,"84,99",,Juegos de mesa,Juego de mesa,21,TCG Factory
9788460659662,Virus,"9,81",2,"14,95",,Juegos de mesa,Juego de mesa,21,Azeta
8435407629912,Cosmic encounter duel,"16,52",1,"34,9",,Juegos de mesa,Juego de mesa,21,Asturlibros
810083042053,Exploding kittens Recetas del desastre,"17,97",1,"28,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
8436589627284,Regicide,"6,05",1,"11,9",,Juegos de mesa,Juego de mesa,21,Azeta
8436017221855,Sushi Go!,7,1,"14,9",,Juegos de mesa,Juego de mesa,21,Devir
8435407628373,Marvel Champions LCG Caja básica,"40,49",1,95,,Juegos de mesa,Juego de mesa,21,Asturlibros
8435450254406,Verdes siempre ganan,"15,59",1,"28,95",,Juegos de mesa,Juego de mesa,21,Asturlibros
652733928979,Sherlock Asesinato en el Sind Mail,"4,62",1,8,,Juegos de mesa,Juego de mesa,21,Asturlibros
638097463622,Sherlock Disparo al amanecer,"4,62",1,8,,Juegos de mesa,Juego de mesa,21,Asturlibros
652733781888,Sherlock Ensayos Fabianos,"4,62",1,8,,Juegos de mesa,Juego de mesa,21,Asturlibros
638097184305,Sherlock Entre tumbas,"4,62",1,8,,Juegos de mesa,Juego de mesa,21,Asturlibros
652733199782,Sherlock Frida,"4,62",1,8,,Juegos de mesa,Juego de mesa,21,Asturlibros
652733988997,Sherlock Intrusión,"4,62",1,8,,Juegos de mesa,Juego de mesa,21,Asturlibros
638097755352,Sherlock La mina maldita,"4,63",1,8,,Juegos de mesa,Juego de mesa,21,Asturlibros
638097279841,Sherlock Pacto con el Diablo,"4,62",1,8,,Juegos de mesa,Juego de mesa,21,Asturlibros
652733025241,Sherlock El fantasma de la habitación 208,"4,62",1,8,,Juegos de mesa,Juego de mesa,21,Asturlibros
