EAN,NOMBRE,COSTE,UNIDADES (stock_actual),PVP,SKU,Categoría,TIPO,TIPO_IVA,Proveedor
9788490708293,Mistborn 5 B,"8,72",1,"12,95",,Libros,Novela,4,Azeta
9788418037733,Mistborn 7,"14,74",1,"21,9",,Libros,Novela,4,Azeta
9788466357302,IT(Eso),"10,07",1,"14,95",,Libros,Novela,4,Azeta
9788497930994,Cementerio de animales,"6,06",1,"9,95",,Libros,Novela,4,Azeta
9788466353779,Dune 1,"9,35",1,"14,95",,Libros,Novela,4,Azeta
9788466356961,Mesías Dune Dune 2,"8,72",1,"12,95",,Libros,Novela,4,Azeta
9788466357005,Hijos Dune Dune 3,"8,09",1,"12,95",,Libros,Novela,4,Azeta
9788466359443,Dios Emperador Dune 4,"8,72",1,"13,95",,Libros,Novela,4,Azeta
9788466359399,Herejes Dune Dune 5,"9,35",1,"14,95",,Libros,Novela,4,Azeta
9788466359450,Casa Capitular Dune 6,"8,72",1,"13,95",,Libros,Novela,4,Azeta
9788497936729,Yihad Butleriana,"10,07",1,"14,95",,Libros,Novela,4,Azeta
9788483463659,Cruzada máquinas,"10,07",1,"14,95",,Libros,Novela,4,Azeta
9788483467343,Batalla Corrin,"10,07",1,"14,95",,Libros,Novela,4,Azeta
9788497593168,Casa Atreides,0,1,"14,95",,Libros,Novela,4,Azeta
9788497593472,Casa Harkonnen,"10,07",1,"14,95",,Libros,Novela,4,Azeta
9788497932462,Casa Corrino,"10,07",1,"14,95",,Libros,Novela,4,Azeta
9788466345347,"IT, Stephen King","12,08",1,"17,95",,Libros,Novela,4,Azeta
9788413148649,Archivo tormentas 4 B,"11,41",1,"18,95",,Libros,Novela,4,Azeta
9788413143941,Archivo tormentas 1 B,"11,41",1,"16,95",,Libros,Novela,4,Azeta
9788419260543,Viento y Verdad,"23,5",1,"34,9",,Libros,Novela,4,Azeta
9788415932550,Dragon Ball Inicio Aventura,"15,41",1,"22,9",,Libros,Enciclopedia,4,Asturlibros
9788419903662,Street Fighter Enciclopedia,"25,58",1,38,,Libros,Enciclopedia,4,Asturlibros
9788494730368,Super Nintendo Legends,"22,18",1,"32,95",,Libros,Enciclopedia,4,Asturlibros
9788419790798,Kame hame ha! 2 Guía,"18,82",1,"27,95",,Libros,Enciclopedia,4,Asturlibros
9788419790538,La vida según Hayao Miyazaki,"18,82",1,"27,95",,Libros,Enciclopedia,4,Asturlibros
9788418320774,Princesa Mononoke,"18,82",1,"27,95",,Libros,Enciclopedia,4,Asturlibros
9788426741424,Arte Ramon N90,"25,45",1,"37,8",,Libros,Libro de arte,4,Azeta
9788426741899,Overflow Arte Bryce Kho,"23,7",1,"35,2",,Libros,Libro de arte,4,Azeta
9788426739254,Arte XGreen,"22,18",1,"32,95",,Libros,Libro de arte,4,Azeta
9788426739803,Arte Kelogsloops,"21,28",1,"43,5",,Libros,Libro de arte,4,Azeta
9788426738745,Personajes Industria Entrerenimiento,"21,54",1,32,,Libros,Libro de arte,4,Azeta
9788426738738,Animales Estilo,"21,54",1,32,,Libros,Libro de arte,4,Azeta
9788426738721,Fundamentos Personajes,"21,54",1,32,,Libros,Libro de arte,4,Azeta
9788426737793,Personajes Chachis,"5,42",1,"8,05",,Libros,Libro de arte,4,Azeta
9788426737786,Cosas Guais,"5,42",1,"8,05",,Libros,Libro de arte,4,Azeta
9788426737779,Naturaleza Flipante,"5,42",1,"8,05",,Libros,Libro de arte,4,Azeta
9788426739681,Dibujo Dinosaurios,"10,62",1,"15,8",,Libros,Libro de arte,4,Azeta
9788426739674,Dibujo Naturaleza,"10,63",1,"15,8",,Libros,Libro de arte,4,Azeta
9788426739612,Dibujo Océano,"10,63",1,"15,8",,Libros,Libro de arte,4,Azeta
9788426738233,Retratos Procreate,"22,08",1,"32,8",,Libros,Libro de arte,4,Azeta
9788426739797,Hellebore Arte Missupacey,"24,09",1,"35,8",,Libros,Libro de arte,4,Azeta
9788426737403,Sketchbook Loish,"19,86",1,"29,5",,Libros,Libro de arte,4,Azeta
9788426735805,Crear Personajes Blender,"23,56",1,35,,Libros,Libro de arte,4,Azeta
9788426740335,Eeleza Arte Eliza Ivanova,"22,78",1,"33,85",,Libros,Libro de arte,4,Azeta
9788426738523,Crea Personajes Estilo,"21,54",1,32,,Libros,Libro de arte,4,Azeta
9788426738462,Brett Bean Dibuja,"23,53",1,"34,95",,Libros,Libro de arte,4,Azeta
9788426737762,Arte Smiz,"23,56",1,35,,Libros,Libro de arte,4,Azeta
9788408257134,"Una corte de hielo y estrellas, Una corte de ro","13,27",1,"18,95",,Libros,Novela,4,Planeta
9788445009604,"Las dos torres, El Señor de los Anillos 2","16,5",1,"22,95",,Libros,Novela,4,Azeta
9788445009611,"El retorno del rey, El Señor de los Anillos 3","16,55",1,"22,95",,Libros,Novela,4,Azeta
9788445013526,La leyenda de Sigurd & Gudrún,"15,45",1,"22,95",,Libros,Novela,4,Planeta
9788445016794,Silmarillion ILUSTRADO,"36,06",1,50,,Libros,Novela,4,Asturlibros
9788410037335,Enciclopedia Tierra Media Númenor Segunda Edad,"33,13",1,"45,95",,Libros,Enciclopedia,4,Asturlibros
9788445012222,"Las tumbas de Atuan, Historias de Terramar 2","9,39",1,"13,95",,Libros,Novela,4,Planeta
9788445012123,"La costa más lejana, Historias de Terramar 3","9,39",1,"13,95",,Libros,Novela,4,Planeta
9788445012307,"Tehanu, Historias de Terramar 4","10,07",1,"14,95",,Libros,Novela,4,Planeta
9788445012345,"En el otro viento, Historias de Terramar 5","10,07",1,"14,95",,Libros,Novela,4,Planeta
9788417360474,Choose Cthulhu 4,"6,5",1,"10,4",,Libros,Novela,4,Azeta
9788418894275,Choose Cthulhu 5,"6,5",1,"10,4",,Libros,Novela,4,Azeta
9788412276961,Choose Cthulhu 10,"6,5",1,"10,4",,Libros,Novela,4,Azeta
9788401032455,CDHYF 4 Festín de cuervos,"18,78",1,"27,9",,Libros,Novela,4,Azeta
9788401032462,CDHYF 5 Danza de Dragones,"20,13",1,"29,9",,Libros,Novela,4,Azeta
9788467969894,"La narración gráfica, Will Eisner","16,16",1,24,,Libros,Libro de arte,4,Asturlibros
9788467968019,"El cómic y el arte secuencial, Will Eisner","16,16",1,24,,Libros,Libro de arte,4,Asturlibros
9788410390423,La Leyenda de Dragonball,16,1,"22,9",,Libros,Enciclopedia,4,Asturlibros
