EAN,NOMBRE,COSTE,UNIDADES (stock_actual),PVP,SKU,Categoría,TIPO,TIPO_IVA,Proveedor
9788419177063,17 Años,"20,16",1,"29,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788491735045,20th Century Boys  10,"10,75",0,"16,95",,Libros de cómics,MANGA,4,PLANETA
9788491735052,20th Century Boys  11,"10,75",0,"16,95",,Libros de cómics,MANGA,4,PLANETA
9788491468202,20th Century Boys  6,"11,41",0,"16,95",,Libros de cómics,MANGA,4,PLANETA
9788491735014,20th Century Boys  7,"11,41",0,"16,95",,Libros de cómics,MANGA,4,PLANETA
9788491735021,20th Century Boys  8,"10,75",0,"16,95",,Libros de cómics,MANGA,4,PLANETA
9788491735038,20th Century Boys  9,"10,75",0,"16,95",,Libros de cómics,MANGA,4,PLANETA
9788491465836,20th Century Boys 1,"11,41",1,"16,95",,Libros de cómics,MANGA,4,PLANETA
9788491467311,20th Century Boys 2,"11,41",1,"16,95",,Libros de cómics,MANGA,4,PLANETA
9788491467649,20th Century Boys 3,"11,41",1,"16,95",,Libros de cómics,MANGA,4,PLANETA
9788491468189,20th Century Boys 4,"11,41",1,"16,95",,Libros de cómics,MANGA,4,PLANETA
9788491468196,20th Century Boys 5,"11,41",0,"16,95",,Libros de cómics,MANGA,4,PLANETA
9788413410203,21th Century Boys,"11,41",0,"16,95",,Libros de cómics,MANGA,4,PLANETA
9788467969191,Academia Kimetsu 4,"6,06",1,9,,Libros de cómics,MANGA,4,ASTURLIBROS
9788467973464,Academia Kimetsu 5,"6,06",1,9,,Libros de cómics,MANGA,4,ASTURLIBROS
9788467973471,Academia Kimetsu 6,"6,06",1,9,,Libros de cómics,MANGA,4,ASTURLIBROS
9788419536624,Acero sol luna 1,"5,62",1,9,,Libros de cómics,MANGA,4,AZETA
9788419536884,Acero sol luna 2,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788419914149,Acero sol luna 3,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788419914422,Acero sol luna 4,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788410223127,Acero sol luna 5,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788410223349,Acero sol luna 6,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788410223790,Acero sol luna 7,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9791387506711,Acero sol luna 8,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9791388055416,Acero sol luna 9,"6,06",1,9,,Libros de cómics,MANGA,4,AZETA
9788419914712,Akane banashi 1,"5,72",1,"8,5",,Libros de cómics,MANGA,4,AZETA
9791388055348,Akane banashi 10,"5,72",1,"8,5",,Libros de cómics,MANGA,4,AZETA
9788418309786,Akari,"16,16",1,24,,Libros de cómics,MANGA,4,UDL
9788467932560,Akira B/N 1,"13,43",1,"19,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467939903,Akira B/N 2,"13,43",1,"19,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467939910,Akira B/N 3,"13,43",0,"19,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467939927,Akira B/N 4,"15,45",1,"22,95",,Libros de cómics,MANGA,4,ASTURLIBROS
9788467939934,Akira B/N 5,"15,45",1,"22,95",,Libros de cómics,MANGA,4,ASTURLIBROS
