NOMBRE,COSTE,PVP,SKU,Categoría,TIPO,TIPO_IVA,Proveedor,COLOR,TALLA,UNIDADES (stock_actual),VARIANTE
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Negro,S,9,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Marino,S,7,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Verde,S,3,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Militar,S,2,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Gris,S,4,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Rosa,S,2,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Natural,S,3,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Royal,S,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Rojo,S,2,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Celeste,S,3,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Charcoal,S,3,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Amarillo,S,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Blanco,S,2,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Negro,M,7,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Marino,M,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Verde,M,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Militar,M,2,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Gris,M,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Rosa,M,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Caqui,M,4,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Rojo,M,2,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Charcoal,M,24,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Blanco,M,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Negro,L,14,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Verde,L,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Militar,L,3,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Natural,L,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Celeste,L,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Marino,L,2,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Gris,L,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Rosa,L,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Caqui,L,7,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Rojo,L,6,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Blanco,L,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Negro,XL,19,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Celeste,XL,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Militar,XL,2,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Natural,XL,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Gris,XL,1,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Rosa,XL,3,Hombre
Camiseta,"2,39",,,Camisetas,Camiseta,21,Falk and Ross,Verde,XL,1,Hombre
