archivo,linea,tipo_operacion,gravedad
kool_tpv/modulos/almacen/ui/Productos/crear_producto_ui.py,382,SELECT,-
kool_tpv/modulos/almacen/ui/Productos/crear_producto_ui.py,392,SELECT,-
kool_tpv/modulos/almacen/ui/Productos/crear_producto_ui.py,399,SELECT,-
kool_tpv/modulos/almacen/ui/Productos/crear_producto_ui.py,406,SELECT,-
kool_tpv/modulos/almacen/ui/Productos/crear_producto_ui.py,694,BEGIN,CRÍTICO
kool_tpv/modulos/almacen/ui/Productos/crear_producto_ui.py,698,SELECT,-
kool_tpv/modulos/almacen/ui/Productos/crear_producto_ui.py,705,INSERT,CRÍTICO
kool_tpv/modulos/almacen/ui/Productos/crear_producto_ui.py,708,UPDATE,CRÍTICO
kool_tpv/modulos/almacen/ui/Productos/crear_producto_ui.py,712,UPDATE,CRÍTICO
kool_tpv/modulos/almacen/ui/Productos/crear_producto_ui.py,723,INSERT,CRÍTICO
kool_tpv/modulos/almacen/ui/Productos/crear_producto_ui.py,739,DELETE,CRÍTICO
kool_tpv/modulos/almacen/ui/Productos/crear_producto_ui.py,744,INSERT (executemany),CRÍTICO
kool_tpv/modulos/ticket/ticket_repository.py,43,INSERT/other,-
kool_tpv/modulos/ticket/ticket_repository.py,75,INSERT,-
kool_tpv/modulos/ticket/ticket_repository.py,81,UPDATE,-
kool_tpv/modulos/ticket/ticket_repository.py,90,INSERT,-
kool_tpv/modulos/ticket/ticket_repository.py,98,INSERT,-
kool_tpv/modulos/ticket/ticket_repository.py,106,INSERT,-
kool_tpv/modulos/ticket/ticket_repository.py,122,other,-
kool_tpv/modulos/fidelizacion/fidelizacion_repository.py,38,UPDATE,-
kool_tpv/modulos/fidelizacion/fidelizacion_repository.py,88,INSERT,-
kool_tpv/modulos/fidelizacion/fidelizacion_repository.py,114,DELETE/UPDATE,-
kool_tpv/modulos/fidelizacion/fidelizacion_repository.py,140,SELECT/UPDATE,-
kool_tpv/base_datos/albaran_service.py,70,BEGIN,ALTO
kool_tpv/base_datos/albaran_service.py,108,other,ALTO
kool_tpv/base_datos/albaran_service.py,133,other,ALTO
kool_tpv/base_datos/albaran_service.py,150,other,ALTO
kool_tpv/base_datos/albaran_service.py,392,BEGIN,ALTO
kool_tpv/base_datos/albaran_service.py,425,other,ALTO
